   59 | 01:00002000 | E | Laser error                                                  | 24.03.17   11:39:29 | laser off          
   60 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     | 24.03.17   11:39:29 | laser off          
   61 | 04:00000010 | E | Beam switch channel 2: Error                                 | 24.03.17   11:39:29 | laser off          
   62 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 24.03.17   11:39:29 | 24.03.17   11:40:52
   63 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 24.03.17   11:39:29 | 24.03.17   11:40:51
   64 | 02:00008000 | E | Low water flow : laser                                       | 24.03.17   11:40:09 | laser off          
   65 | 22:00000200 | W | Laser temperature is too low                                 | 24.03.17   11:49:29 | 24.03.17   11:50:26
   66 | 22:00000200 | W | Laser temperature is too low                                 | 24.03.17   12:16:06 | 24.03.17   12:16:35
   67 | 22:00000200 | W | Laser temperature is too low                                 | 24.03.17   12:49:02 | 24.03.17   12:54:24
   68 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 24.03.17   18:42:41 | 24.03.17   18:42:41
   69 | 22:00080000 | W | FF Water flow warning                                        | 24.03.17   18:42:41 | 24.03.17   18:42:41
   70 | 02:00000100 | E | Low water flow : fiber con.                                  | 24.03.17   18:42:41 | laser off          
   71 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 24.03.17   18:42:41 | laser off          
   72 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 24.03.17   18:42:42 | 24.03.17   18:42:42
   73 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 24.03.17   18:42:42 | laser off          
   74 | 02:00000040 | E | E-Stop                                                       | 25.03.17    8:39:49 | laser off          
   75 | 02:00000100 | E | Low water flow : fiber con.                                  | 25.03.17    8:39:49 | 25.03.17    8:43:45
   76 | 02:80000000 | E | E-Stop external                                              | 25.03.17    8:39:49 | laser off          
   77 | 01:00002000 | E | Laser error                                                  | 25.03.17    8:39:49 | laser off          
   78 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     | 25.03.17    8:39:49 | laser off          
   79 | 04:00000010 | E | Beam switch channel 2: Error                                 | 25.03.17    8:39:49 | laser off          
   80 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 25.03.17    8:39:49 | 25.03.17    8:43:45
   81 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 25.03.17    8:39:49 | 25.03.17    8:43:45
   82 | 02:00008000 | E | Low water flow : laser                                       | 25.03.17    8:40:29 | laser off          
   83 | 22:00000200 | W | Laser temperature is too low                                 | 25.03.17    9:09:56 | 25.03.17    9:11:08
   84 | 22:00000200 | W | Laser temperature is too low                                 | 25.03.17    9:23:20 | 25.03.17    9:24:03
   85 | 22:00000200 | W | Laser temperature is too low                                 | 25.03.17    9:39:44 | 25.03.17    9:40:52
   86 | 22:00000200 | W | Laser temperature is too low                                 | 25.03.17   10:03:54 | 25.03.17   10:06:23
   87 | 22:00080000 | W | FF Water flow warning                                        | 25.03.17   17:35:04 | 25.03.17   17:35:04
   88 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 25.03.17   17:35:04 | 25.03.17   17:35:04
   89 | 02:00000100 | E | Low water flow : fiber con.                                  | 25.03.17   17:35:04 | laser off          
   90 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 25.03.17   17:35:04 | laser off          
   91 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 25.03.17   17:35:05 | 25.03.17   17:35:05
   92 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 25.03.17   17:35:05 | laser off          
   93 | 02:00000040 | E | E-Stop                                                       | 28.03.17   14:17:45 | laser off          
   94 | 02:00000100 | E | Low water flow : fiber con.                                  | 28.03.17   14:17:45 | laser off          
   95 | 02:80000000 | E | E-Stop external                                              | 28.03.17   14:17:45 | laser off          
   96 | 01:00002000 | E | Laser error                                                  | 28.03.17   14:17:45 | laser off          
   97 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     | 28.03.17   14:17:45 | laser off          
   98 | 04:00000010 | E | Beam switch channel 2: Error                                 | 28.03.17   14:17:45 | laser off          
   99 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 28.03.17   14:17:45 | laser off          
  100 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 28.03.17   14:17:45 | laser off          
  101 | 02:00008000 | E | Low water flow : laser                                       | 28.03.17   14:18:26 | laser off          
  102 | 02:00000040 | E | E-Stop                                                       | 29.03.17    8:50:24 | laser off          
  103 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17    8:50:24 | 29.03.17    8:52:23
  104 | 02:80000000 | E | E-Stop external                                              | 29.03.17    8:50:24 | laser off          
  105 | 01:00002000 | E | Laser error                                                  | 29.03.17    8:50:24 | laser off          
  106 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     | 29.03.17    8:50:24 | laser off          
  107 | 04:00000010 | E | Beam switch channel 2: Error                                 | 29.03.17    8:50:24 | laser off          
  108 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17    8:50:24 | 29.03.17    8:52:23
  109 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17    8:50:24 | 29.03.17    8:52:23
  110 | 02:00008000 | E | Low water flow : laser                                       | 29.03.17    8:51:04 | laser off          
  111 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17    8:52:42 | 29.03.17    8:52:42
  112 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17    8:52:42 | 29.03.17    8:52:42
  113 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17    8:52:42 | 29.03.17    8:52:49
  114 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17    8:52:42 | 29.03.17    8:52:49
  115 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17    8:52:42 | 29.03.17    8:52:42
  116 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17    8:52:42 | 29.03.17    8:52:50
  117 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17    9:03:57 | 29.03.17    9:03:57
  118 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17    9:03:57 | 29.03.17    9:03:57
  119 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17    9:03:57 | 29.03.17    9:04:06
  120 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17    9:03:57 | 29.03.17    9:04:06
  121 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17    9:03:57 | 29.03.17    9:03:58
  122 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17    9:03:58 | 29.03.17    9:04:06
  123 | 22:00000200 | W | Laser temperature is too low                                 | 29.03.17    9:13:17 | 29.03.17    9:14:25
  124 | 22:00000200 | W | Laser temperature is too low                                 | 29.03.17    9:30:26 | 29.03.17    9:32:01
  125 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17    9:31:26 | 29.03.17    9:31:26
  126 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17    9:31:26 | 29.03.17    9:31:26
  127 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17    9:31:26 | 29.03.17   12:46:45
  128 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17    9:31:26 | 29.03.17   12:46:45
  129 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17    9:31:26 | 29.03.17    9:31:26
  130 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17    9:31:26 | 29.03.17   12:46:46
  131 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17   12:48:50 | 29.03.17   12:48:50
  132 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17   12:48:50 | 29.03.17   12:48:50
  133 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17   12:48:50 | 29.03.17   12:49:01
  134 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17   12:48:50 | 29.03.17   12:49:01
  135 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17   12:48:50 | 29.03.17   12:48:50
  136 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17   12:48:50 | 29.03.17   12:49:02
  137 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17   12:53:52 | 29.03.17   12:53:52
  138 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17   12:53:52 | 29.03.17   12:53:52
  139 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17   12:53:52 | 29.03.17   12:54:11
  140 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17   12:53:52 | 29.03.17   12:54:11
  141 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17   12:53:52 | 29.03.17   12:53:53
  142 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17   12:53:53 | 29.03.17   12:54:12
  143 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17   13:30:51 | 29.03.17   13:30:51
  144 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17   13:30:51 | 29.03.17   13:30:51
  145 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17   13:30:51 | 29.03.17   13:30:55
  146 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17   13:30:51 | 29.03.17   13:30:55
  147 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17   13:30:52 | 29.03.17   13:30:52
  148 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17   13:30:52 | 29.03.17   13:30:55
  149 | 22:00080000 | W | FF Water flow warning                                        | 29.03.17   13:31:19 | 29.03.17   13:31:19
  150 | 65:00000002 | W | Low water flow PF input warning: channel #2                  | 29.03.17   13:31:19 | 29.03.17   13:31:19
  151 | 02:00000100 | E | Low water flow : fiber con.                                  | 29.03.17   13:31:19 | 29.03.17   13:31:35
  152 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 29.03.17   13:31:19 | 29.03.17   13:31:35
  153 | 65:00000200 | W | Low water flow PF output warning: channel #2                 | 29.03.17   13:31:19 | 29.03.17   13:31:20
  154 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 29.03.17   13:31:20 | 29.03.17   13:31:35
  155 | 02:00000040 | E | E-Stop                                                       | 30.03.17    9:22:12 | laser off          
  156 | 02:00000100 | E | Low water flow : fiber con.                                  | 30.03.17    9:22:12 | laser off          
  157 | 02:80000000 | E | E-Stop external                                              | 30.03.17    9:22:12 | laser off          
  158 | 01:00002000 | E | Laser error                                                  | 30.03.17    9:22:12 | laser off          
  159 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     | 30.03.17    9:22:12 | laser off          
  160 | 04:00000010 | E | Beam switch channel 2: Error                                 | 30.03.17    9:22:12 | laser off          
  161 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output | 30.03.17    9:22:12 | laser off          
  162 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  | 30.03.17    9:22:12 | laser off          
  163 | 02:00008000 | E | Low water flow : laser                                       | 30.03.17    9:22:53 | laser off          
  164 | 22:00000004 | W | Module overheat                                              | 30.03.17   12:55:19 | laser off          
  165 | 02:00000002 | E | Laser overheat                                               | 30.03.17   13:53:10 | laser off          
  166 | 02:00000040 | E | E-Stop                                                       |  3.04.17    8:10:41 | laser off          
  167 | 02:00000100 | E | Low water flow : fiber con.                                  |  3.04.17    8:10:41 |  3.04.17    8:12:02
  168 | 02:80000000 | E | E-Stop external                                              |  3.04.17    8:10:41 | laser off          
  169 | 01:00002000 | E | Laser error                                                  |  3.04.17    8:10:41 | laser off          
  170 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     |  3.04.17    8:10:41 | laser off          
  171 | 04:00000010 | E | Beam switch channel 2: Error                                 |  3.04.17    8:10:41 | laser off          
  172 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  3.04.17    8:10:41 |  3.04.17    8:12:03
  173 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  3.04.17    8:10:41 |  3.04.17    8:12:02
  174 | 02:00008000 | E | Low water flow : laser                                       |  3.04.17    8:11:22 | laser off          
  175 | 22:00080000 | W | FF Water flow warning                                        |  3.04.17    8:14:03 |  3.04.17    8:14:03
  176 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  3.04.17    8:14:03 |  3.04.17    8:14:03
  177 | 02:00000100 | E | Low water flow : fiber con.                                  |  3.04.17    8:14:03 |  3.04.17    8:15:46
  178 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  3.04.17    8:14:03 |  3.04.17    8:15:46
  179 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  3.04.17    8:14:03 |  3.04.17    8:14:03
  180 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  3.04.17    8:14:03 |  3.04.17    8:15:47
  181 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  3.04.17    8:15:53 |  3.04.17    8:15:53
  182 | 22:00080000 | W | FF Water flow warning                                        |  3.04.17    8:15:53 |  3.04.17    8:15:53
  183 | 02:00000100 | E | Low water flow : fiber con.                                  |  3.04.17    8:15:53 | laser off          
  184 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  3.04.17    8:15:53 | laser off          
  185 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  3.04.17    8:15:53 |  3.04.17    8:15:53
  186 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  3.04.17    8:15:53 | laser off          
  187 | 22:00000004 | W | Module overheat                                              |  3.04.17   12:33:35 | laser off          
  188 | 02:00000002 | E | Laser overheat                                               |  3.04.17   13:55:13 | laser off          
  189 | 02:00000002 | E | Laser overheat                                               |  3.04.17   16:49:05 | laser off          
  190 | 02:00000040 | E | E-Stop                                                       |  3.04.17   16:49:05 | laser off          
  191 | 02:00000100 | E | Low water flow : fiber con.                                  |  3.04.17   16:49:05 | laser off          
  192 | 02:80000000 | E | E-Stop external                                              |  3.04.17   16:49:05 | laser off          
  193 | 01:00002000 | E | Laser error                                                  |  3.04.17   16:49:05 | laser off          
  194 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     |  3.04.17   16:49:05 | laser off          
  195 | 04:00000010 | E | Beam switch channel 2: Error                                 |  3.04.17   16:49:05 | laser off          
  196 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  3.04.17   16:49:05 | laser off          
  197 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  3.04.17   16:49:05 | laser off          
  198 | 02:00008000 | E | Low water flow : laser                                       |  3.04.17   16:49:45 | laser off          
  199 | 02:00000040 | E | E-Stop                                                       |  4.04.17    9:53:19 | laser off          
  200 | 02:00000100 | E | Low water flow : fiber con.                                  |  4.04.17    9:53:19 |  4.04.17    9:54:42
  201 | 02:80000000 | E | E-Stop external                                              |  4.04.17    9:53:19 | laser off          
  202 | 01:00002000 | E | Laser error                                                  |  4.04.17    9:53:19 | laser off          
  203 | 04:00000008 | E | Beam switch channel 2: Optical interlock                     |  4.04.17    9:53:19 | laser off          
  204 | 04:00000010 | E | Beam switch channel 2: Error                                 |  4.04.17    9:53:19 | laser off          
  205 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  4.04.17    9:53:19 |  4.04.17    9:54:42
  206 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  4.04.17    9:53:19 |  4.04.17    9:54:42
  207 | 02:00008000 | E | Low water flow : laser                                       |  4.04.17    9:54:00 | laser off          
  208 | 22:00080000 | W | FF Water flow warning                                        |  4.04.17    9:57:47 |  4.04.17    9:57:47
  209 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  4.04.17    9:57:47 |  4.04.17    9:57:47
  210 | 02:00000100 | E | Low water flow : fiber con.                                  |  4.04.17    9:57:47 |  4.04.17   10:01:49
  211 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  4.04.17    9:57:47 |  4.04.17   10:01:49
  212 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  4.04.17    9:57:48 |  4.04.17    9:57:48
  213 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  4.04.17    9:57:48 |  4.04.17   10:01:50
  214 | 22:00080000 | W | FF Water flow warning                                        |  4.04.17   10:02:02 |  4.04.17   10:02:03
  215 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  4.04.17   10:02:03 |  4.04.17   10:02:03
  216 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  4.04.17   10:02:03 |  4.04.17   10:05:45
  217 | 02:00000100 | E | Low water flow : fiber con.                                  |  4.04.17   10:02:03 |  4.04.17   10:05:45
  218 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  4.04.17   10:02:03 |  4.04.17   10:02:03
  219 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  4.04.17   10:02:03 |  4.04.17   10:05:45
  220 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  4.04.17   10:05:59 |  4.04.17   10:05:59
  221 | 22:00080000 | W | FF Water flow warning                                        |  4.04.17   10:05:59 |  4.04.17   10:05:59
  222 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  4.04.17   10:05:59 |  4.04.17   10:06:24
  223 | 02:00000100 | E | Low water flow : fiber con.                                  |  4.04.17   10:05:59 |  4.04.17   10:06:24
  224 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  4.04.17   10:05:59 |  4.04.17   10:05:59
  225 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  4.04.17   10:05:59 |  4.04.17   10:06:24
  226 | 22:00080000 | W | FF Water flow warning                                        |  4.04.17   10:06:39 |  4.04.17   10:06:39
  227 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  4.04.17   10:06:39 |  4.04.17   10:06:39
  228 | 02:00000100 | E | Low water flow : fiber con.                                  |  4.04.17   10:06:39 |  4.04.17   10:08:10
  229 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  4.04.17   10:06:39 |  4.04.17   10:08:10
  230 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  4.04.17   10:06:39 |  4.04.17   10:06:39
  231 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  4.04.17   10:06:39 |  4.04.17   10:08:10
  232 | 65:00000002 | W | Low water flow PF input warning: channel #2                  |  4.04.17   10:14:36 |  4.04.17   10:14:36
  233 | 22:00080000 | W | FF Water flow warning                                        |  4.04.17   10:14:36 |  4.04.17   10:14:36
  234 | 02:00000100 | E | Low water flow : fiber con.                                  |  4.04.17   10:14:36 | laser off          
  235 | 04:00000040 | E | Beam switch channel 2: Low water flow : process fiber input  |  4.04.17   10:14:36 | laser off          
  236 | 65:00000200 | W | Low water flow PF output warning: channel #2                 |  4.04.17   10:14:37 |  4.04.17   10:14:37
  237 | 04:00000020 | E | Beam switch channel 2: Low water flow : process fiber output |  4.04.17   10:14:37 | laser off          
  238 | 22:00000004 | W | Module overheat                                              |  4.04.17   13:31:52 | laser off          
  239 | 02:00000002 | E | Laser overheat                                               |  4.04.17   14:33:39 | laser off          
  240 | 02:00000040 | E | E-Stop                                                       |  5.04.17    9:52:33 | laser off          
