,,uint8,,,,uint16,,,,float32,,,,float64
,max,min,range,var,max,min,range,var,max,min,range,var,max,min,range,var
anime_style_art,0.010373758082321407,-0.037667034642275096,0.04804079272459603,-0.02004668417735438,0.002280679685107795,-0.03785193880600408,0.04013261849111194,-0.02523257917117817,0.0,0.0,0.0,0.0,0.009691426168322572,-0.03779424906691896,0.04748567523524055,-0.02007717178803241
anime_style_art_rgb,-0.0008442411817273621,-0.09421962887031479,0.09337538768858758,-0.04158936430451274,0.006697409709442447,-0.06484430172690812,0.07154171143635008,0.019178877927236403,0.0,0.0,0.0,0.0,0.01723296441150188,-0.08484924565000283,0.10208221006150352,-0.016878694541972068
cunet,-0.03168795668401408,-0.10544919308205859,0.07376123639804458,0.009591293726998653,-0.0270046478653426,-0.08790066744925405,0.060896019583911165,-0.011009307604483003,0.0,0.0,0.0,0.0,-0.027552283972033742,-0.09673711444041447,0.06918483046838034,-0.0012828456436338432
photo,0.027408926036902665,-0.05833359617305361,0.08574252220995619,0.016080919579803357,0.025418090040910953,-0.05127843808160957,0.07669652812252022,0.0263250091355011,0.0,0.0,0.0,0.0,0.03169659107396316,-0.056769332912789905,0.08846592398675342,0.018816691586969136
ukbench,0.2045029700888396,0.15307364768963888,0.051429322399200554,-0.03692894455574793,0.20864097137378868,0.1772325084257006,0.03140846294808763,-0.01812633552542747,0.0,0.0,0.0,0.0,0.20777595205803567,0.17683309488513926,0.030942857172896118,-0.031139121647920855
upconv_7_anime_style_art_rgb,0.2344793145140091,-0.03800241812542708,0.2724817326394365,0.0676535136897826,0.20906666944847221,-0.0046788088390236696,0.21374547828749554,0.06667734516682594,0.0,0.0,0.0,0.0,0.23168332418651075,-0.022036488566472112,0.25371981275298305,0.06988932916729759
upconv_7_photo,0.012744572359775014,-0.03981811491352569,0.052562687273300365,-0.07726976713397017,0.016622699820062183,-0.04019984818705027,0.05682254800711166,-0.04660514944204702,0.0,0.0,0.0,0.0,0.019026861273195677,-0.04698243463176169,0.06600929590495694,-0.0613357041992849
upresnet10,0.06017242285654194,-0.008604321085002378,0.06877674394154405,-0.008281877660879185,0.008774870313654712,-0.0343508196406112,0.043125689954265814,-0.010516478027806662,0.0,0.0,0.0,0.0,0.03535831488198502,-0.030428427482521073,0.06578674236450646,-0.005430452700686028
