,,uint8,,,,uint16,,,,float32,,,,float64
,max,min,range,var,max,min,range,var,max,min,range,var,max,min,range,var
anime_style_art,-6.054687370730484e-08,0.0,21.323195333333327,15.594785980913912,-6.054687370730484e-08,0.0,21.323195333333327,15.968195971228504,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.0,21.323195333333327,16.296711464633198
anime_style_art_rgb,-6.054687370730484e-08,0.0,21.323195333333327,16.591120644320693,-6.054687370730484e-08,0.0,21.323195333333327,16.985301017369576,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.0,21.323195333333327,17.366290427331318
cunet,-6.054687370730484e-08,0.0,21.323195333333327,7.80547292136232,-6.054687370730484e-08,0.0,21.323195333333327,7.913382689092845,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.0,21.323195333333327,8.337313968102304
photo,-6.054687370730484e-08,0.09465242523251603,21.228542908100806,10.926066613376834,-6.054687370730484e-08,0.1013203615070023,21.221874971826335,11.153839760949396,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.09689272579790034,21.226302607535438,11.572115915495594
ukbench,-6.054687370730484e-08,0.04429991058501429,21.278895422748317,10.713037065509894,-6.054687370730484e-08,0.047763743215967845,21.275431590117364,11.013587844086217,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.032640719282666854,21.29055461405067,11.376412228604524
upconv_7_anime_style_art_rgb,-6.054687370730484e-08,0.0,21.323195333333327,10.382251216776158,-6.054687370730484e-08,0.0,21.323195333333327,10.380500602330516,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.0,21.323195333333327,11.064757621916579
upconv_7_photo,-6.054687370730484e-08,0.09632654976043806,21.226868783572897,6.450465061989326,-6.054687370730484e-08,0.10545230728887757,21.217743026044456,6.719584343483966,0.0,0.0,0.0,0.0,-6.054687370730484e-08,0.09659309184841822,21.22660224148492,7.034682281306148
upresnet10,-6.054687370730484e-08,0.0,21.323195333333327,11.254308206818024,-6.054687370730484e-08,0.0001150824902462629,21.323080250843084,11.706429278760801,0.0,0.0,0.0,0.0,-6.054687370730484e-08,3.404482469474286e-05,21.323161288508636,12.044522596042015
