,,uint8,,,,uint16,,,,float32,,,,float64
,max,min,range,var,max,min,range,var,max,min,range,var,max,min,range,var
anime_style_art,-2.724609316828718e-07,10.112756040592416,85.8416229594076,-51.70295546506948,-2.724609316828718e-07,10.298363874380751,85.65601512561928,-51.140552020296965,0.0,0.0,0.0,0.0,-2.724609316828718e-07,10.294342137165096,85.66003686283491,-49.87655160251171
anime_style_art_rgb,-5.0025856598222814e-23,10.190803154101234,-10.190803154101175,-40.19915222659619,-5.0025856598222814e-23,10.379753129705097,-10.379753129705062,-40.446129731987504,0.0,0.0,0.0,0.0,-5.0025856598222814e-23,10.289155531629884,-10.289155531629834,-40.47901126945799
cunet,-8.372771708323983e-05,9.430227012710716,-9.430310740427776,-25.88734945821701,-0.00024975469274218895,9.559210250046023,-9.55946000473873,-25.999187258582065,0.0,0.0,0.0,0.0,-0.00013823124060760098,9.580996068685733,-9.58113429992631,-25.669138363212614
photo,-5.0025856598222814e-23,5.794969195358757,-5.794969195358726,-25.002753143604355,4.285375522668777e-06,5.933583400680114,-5.933579115304582,-24.862753883645837,0.0,0.0,0.0,0.0,-5.0025856598222814e-23,5.795172869471155,-5.795172869471094,-24.836383942864824
ukbench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
upconv_7_anime_style_art_rgb,-5.0025856598222814e-23,0.8562898032039067,-0.8562898032038766,-89.27468502986841,-5.0025856598222814e-23,0.8734898971540639,-0.8734898971540299,-89.35752579111434,0.0,0.0,0.0,0.0,-5.0025856598222814e-23,0.7993150271271457,-0.7993150271271088,-90.71019334851366
upconv_7_photo,-5.0025856598222814e-23,1.3457684778661436,-1.345768477866154,-60.34302398110661,-5.0025856598222814e-23,1.3642465910884027,-1.3642465910883286,-61.094726341805796,0.0,0.0,0.0,0.0,-5.0025856598222814e-23,1.3125206316440428,-1.3125206316440372,-60.976102970901906
upresnet10,-5.0025856598222814e-23,13.019788818316094,-13.019788818316066,-142.69038818230098,-5.0025856598222814e-23,13.21358896188797,-13.21358896188792,-143.87344525371742,0.0,0.0,0.0,0.0,-5.0025856598222814e-23,13.025808499178858,-13.02580849917881,-144.71264035870573
