Radiated Heat Times Area (W),Thermal Conductivity of Area (W.mK),Thermal Diffusivity of Area (m2/s),Temperature of Area (K),Best Circle Radius (Pixels),Best Circle Accumulator Score,Best Circle X Position (Pixels),Best Circle Y Position (Pixels),Best Circle Distance from Centre (Pixels)
33.821497753600006,0.2127973557748632,5.473348028300528e-06,306.43386979097204,44.0,1.0,64.0,64.0,0.0
433.2869517312001,0.21698273710701313,5.390765032801563e-06,385.60723013118627,30.0,1.000000000000004,64.0,64.0,0.0
38.549192704000006,0.21290687346565518,5.473395508539926e-06,307.79157930867586,69.0,0.47000000000000036,64.0,64.0,0.0
37.47792158720001,0.2128823119653719,5.473381775655778e-06,307.4855027782073,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
37.21681960960001,0.2128763031559604,5.473378702242353e-06,307.410763733236,69.0,0.3100000000000002,66.0,62.0,2.8284271247461903
37.05872711680001,0.21287266064514324,5.473376892700025e-06,307.36548409349285,69.0,0.3075000000000002,66.0,62.0,2.8284271247461903
37.00499415040001,0.21287142188021177,5.4733762864437535e-06,307.35008975165454,69.0,0.2875000000000002,72.0,64.0,8.0
38.47641497600001,0.21290520952446582,5.473394517683002e-06,307.7708146302009,69.0,0.32250000000000023,69.0,63.0,5.0990195135927845
37.343389286400004,0.21287921703810997,5.473380178851682e-06,307.4470004334247,69.0,0.3150000000000002,66.0,64.0,2.0
37.59468707840001,0.2128849962712228,5.473383184473908e-06,307.51890864723424,69.0,0.3175000000000002,64.0,67.0,3.0
38.41121320960001,0.21290371821881193,5.473393637206202e-06,307.752207927694,69.0,0.2975000000000002,68.0,62.0,4.47213595499958
36.564349747200005,0.21286124909051043,5.473371481588248e-06,307.22375903241004,69.0,0.3150000000000002,64.0,62.0,2.0
38.773325824000004,0.2129119936371995,5.4733986137799114e-06,307.85550177388706,69.0,0.32000000000000023,72.0,64.0,8.0
38.221886259200005,0.2128993848123763,5.473391119185649e-06,307.6981603435732,69.0,0.3175000000000002,64.0,62.0,2.0
36.7550201856,0.21286565403423544,5.473373524304539e-06,307.27844249290763,69.0,0.32000000000000023,65.0,61.0,3.1622776601683795
38.055903232000006,0.21289558192835764,5.473388958714247e-06,307.6507533601608,69.0,0.3000000000000002,64.0,62.0,2.0
36.80016793600001,0.2128666963637953,5.4733740160971375e-06,307.291386399374,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
38.67269529600001,0.2129096955947133,5.47339720955115e-06,307.8268070081001,69.0,0.3125000000000002,64.0,62.0,2.0
38.342885376000005,0.21290215482858424,5.4733927218375675e-06,307.7327055136661,69.0,0.3150000000000002,64.0,62.0,2.0
38.003847987200004,0.21289438854680223,5.473388290175674e-06,307.63588116736776,69.0,0.3150000000000002,66.0,62.0,2.8284271247461903
36.391419904,0.21285724990814187,5.4733696766180694e-06,307.1741382348483,69.0,0.3125000000000002,69.0,63.0,5.0990195135927845
36.86511411200001,0.212868195317028,5.4733747290169365e-06,307.31000366639927,69.0,0.2825000000000002,72.0,64.0,8.0
37.817738854400005,0.21289011909053623,5.473385935099372e-06,307.58269210613685,69.0,0.3125000000000002,64.0,62.0,2.0
38.092675481600004,0.21289642473291573,5.4733894335689614e-06,307.6612578986887,69.0,0.3175000000000002,65.0,61.0,3.1622776601683795
36.427300864,0.21285808001269585,5.473370047412494e-06,307.1844359586721,69.0,0.3000000000000002,64.0,62.0,2.0
37.080098406400005,0.21287315323691366,5.473377135063092e-06,307.3716062642053,69.0,0.2750000000000002,70.0,66.0,6.324555320336759
36.426285056000005,0.21285805651432496,5.473370036888392e-06,307.1841444391826,69.0,0.2950000000000002,64.0,62.0,2.0
37.87771084800001,0.21289149537112345,5.473386688022096e-06,307.59983481574096,69.0,0.3025000000000002,72.0,64.0,8.0
38.852879974400004,0.21291380945442934,5.4733997355265694e-06,307.8781809390738,69.0,0.33250000000000024,65.0,65.0,1.4142135623730951
38.68038266880001,0.2129098711925756,5.4733973162446434e-06,307.8289993433217,69.0,0.32250000000000023,68.0,64.0,4.0
38.353803673600005,0.21290240468730512,5.4733928676044694e-06,307.7358221084223,69.0,0.3000000000000002,72.0,64.0,8.0
37.90813921280001,0.21289219348616764,5.473387072209397e-06,307.6085315234349,69.0,0.33750000000000024,68.0,62.0,4.47213595499958
38.03180564480001,0.2128950295274975,5.473388648697521e-06,307.6438689432927,69.0,0.3150000000000002,64.0,62.0,2.0
38.74537472000001,0.21291135546347975,5.4733982220961235e-06,307.8475323295342,69.0,0.32250000000000023,64.0,62.0,2.0
37.276529459200006,0.21287767805192204,5.473379395743648e-06,307.4278601662484,69.0,0.32000000000000023,64.0,62.0,2.0
37.62636718080001,0.2128857242573611,5.473383570385655e-06,307.52797024702204,69.0,0.2875000000000002,66.0,64.0,2.0
38.599570227200005,0.21290802486643054,5.473396199420107e-06,307.80595038063257,69.0,0.3075000000000002,62.0,65.0,2.23606797749979
36.56261304320001,0.21286120894676924,5.473371463236238e-06,307.2232608189739,69.0,0.3175000000000002,68.0,62.0,4.47213595499958
38.72464568320001,0.21291088211798934,5.4733979324343006e-06,307.8416216478564,69.0,0.32000000000000023,64.0,62.0,2.0
37.42892032,0.21288118495766895,5.473381190780691e-06,307.4714805814835,69.0,0.3175000000000002,64.0,62.0,2.0
38.67344240640001,0.21290971266082176,5.473397219916143e-06,307.8270200759822,69.0,0.3125000000000002,68.0,62.0,4.47213595499958
36.401007820800004,0.2128574717406233,5.473369775509582e-06,307.1768900385204,69.0,0.3150000000000002,68.0,62.0,4.47213595499958
38.526268211200005,0.21290634940858927,5.473395195506609e-06,307.78503902859654,69.0,0.3050000000000002,64.0,62.0,2.0
37.399396352000004,0.2128805057696035,5.473380840191825e-06,307.4630310801028,69.0,0.3050000000000002,64.0,62.0,2.0
38.08093143040001,0.21289615558306663,5.473389281679777e-06,307.6579031532128,69.0,0.3150000000000002,64.0,62.0,2.0
38.343298252800004,0.21290216427730135,5.473392727346288e-06,307.7328233698123,69.0,0.3175000000000002,64.0,62.0,2.0
37.867185766400006,0.21289125386745283,5.473386555473397e-06,307.5968264785024,69.0,0.3025000000000002,64.0,62.0,2.0
38.3629459456,0.21290261389098322,5.473392989807127e-06,307.73843166925013,69.0,0.2850000000000002,74.0,61.0,10.44030650891055
36.97582407680001,0.21287074923385113,5.473375959184782e-06,307.3417316398143,69.0,0.3025000000000002,64.0,62.0,2.0
38.2794530816,0.2129007029159883,5.473391878747627e-06,307.71459708527686,69.0,0.32750000000000024,68.0,62.0,4.47213595499958
37.77118208000001,0.2128890503527756,5.473385354510103e-06,307.5693820967217,69.0,0.3175000000000002,64.0,62.0,2.0
38.223865446400005,0.2128994301367502,5.473391145212059e-06,307.69872549385514,69.0,0.3100000000000002,64.0,62.0,2.0
36.475338752000006,0.21285919110484144,5.473370546880393e-06,307.19822106179515,69.0,0.3100000000000002,64.0,62.0,2.0
38.872095129600005,0.21291424791763164,5.473400008010228e-06,307.88365801223995,69.0,0.32500000000000023,68.0,63.0,4.123105625617661
37.2355760128,0.21287673509591257,5.473378919493911e-06,307.4161344709026,69.0,0.3175000000000002,66.0,62.0,2.8284271247461903
37.81143429120001,0.2128899743819721,5.47338585627792e-06,307.5808898101768,69.0,0.32500000000000023,68.0,62.0,4.47213595499958
36.663931699200006,0.21286355026150705,5.473372541543841e-06,307.25232234969724,69.0,0.3025000000000002,64.0,62.0,2.0
36.5709492224,0.21286140163314926,5.4733715513676e-06,307.22565222136257,69.0,0.2900000000000002,67.0,65.0,3.1622776601683795
36.40781045760001,0.21285762912373565,5.473369845757304e-06,307.1788424011984,69.0,0.2900000000000002,68.0,63.0,4.123105625617661
38.13223956480001,0.21289733133111072,5.473389946876919e-06,307.6725587644126,69.0,0.3050000000000002,64.0,62.0,2.0
37.64077854720001,0.21288605537744015,5.473383746458594e-06,307.5320921288229,69.0,0.33250000000000024,68.0,62.0,4.47213595499958
36.59361157120001,0.21286192541569296,5.473371791490275e-06,307.2321530943528,69.0,0.32000000000000023,68.0,62.0,4.47213595499958
37.7509707776,0.21288858630369678,5.473385103526566e-06,307.5636033959106,69.0,0.3050000000000002,68.0,63.0,4.123105625617661
